lipid_type,n,mean_D_A2_per_ns,std_D_A2_per_ns,min_D_A2_per_ns,max_D_A2_per_ns
CHL1,21213,0.21866382147931232,0.42871251090601564,1.1592932186934676e-07,6.636727253573311
DPPC,202843,0.6552633110336565,0.6697265029666191,0.0,21.15448
DPPG,21246,0.6442385884401769,0.6717383933330728,4e-05,14.33892
membrane_lipids_filtered,47042,0.03433251178947582,0.038799379100882575,0.000100424232741,1.5862905574515045
