ion_type,n,mean_D_A2_per_ns,std_D_A2_per_ns,min_D_A2_per_ns,max_D_A2_per_ns
CAL,44827,14.430631135030227,13.021736787527036,0.00034,135.84653
CLA,4885636,35.50252527236167,31.1634284998484,6e-05,441.21991
MG,27281,14.345230684359079,12.682348367375154,9e-05,161.52956
POT,179254,36.14079754181218,31.82889219127327,0.0002,366.89133
SOD,4627417,23.45702809885731,20.537190800761696,2e-05,287.9103
